finalWorth,personName,age,country,industries,selfMade,status,gender,gdp_country,total_tax_rate_country,population_country
211000,Bernard Arnault & family,74,France,Fashion & Retail,FALSE,U,M,"$2,715,518,274,227 ",60.7,67059887
180000,Elon Musk,51,United States,Automotive,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
114000,Jeff Bezos,59,United States,Technology,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
107000,Larry Ellison,78,United States,Technology,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
106000,Warren Buffett,92,United States,Finance & Investments,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
104000,Bill Gates,67,United States,Technology,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
94500,Michael Bloomberg,81,United States,Media & Entertainment,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
93000,Carlos Slim Helu & family,83,Mexico,Telecom,TRUE,U,M,"$1,258,286,717,125 ",55.1,126014024
83400,Mukesh Ambani,65,India,Diversified,FALSE,D,M,"$2,611,000,000,000 ",49.7,1366417754
80700,Steve Ballmer,67,United States,Technology,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
80500,Francoise Bettencourt Meyers & family,69,France,Fashion & Retail,FALSE,U,F,"$2,715,518,274,227 ",60.7,67059887
79200,Larry Page,50,United States,Technology,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
77300,Amancio Ortega,87,Spain,Fashion & Retail,TRUE,U,M,"$1,394,116,310,769 ",47,47076781
76000,Sergey Brin,49,United States,Technology,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
68000,Zhong Shanshan,68,China,Food & Beverage,TRUE,U,M,"$19,910,000,000,000 ",59.2,1397715000
64400,Mark Zuckerberg,38,United States,Technology,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
59000,Charles Koch & family,87,United States,Diversified,FALSE,D,M,"$21,427,700,000,000 ",36.6,328239523
59000,Julia Koch & family,60,United States,Diversified,FALSE,D,F,"$21,427,700,000,000 ",36.6,328239523
58800,Jim Walton,74,United States,Fashion & Retail,FALSE,D,M,"$21,427,700,000,000 ",36.6,328239523
57600,Rob Walton & family,78,United States,Fashion & Retail,FALSE,D,M,"$21,427,700,000,000 ",36.6,328239523
56700,Alice Walton,73,United States,Fashion & Retail,FALSE,D,F,"$21,427,700,000,000 ",36.6,328239523
54400,David Thomson & family,65,Canada,Media & Entertainment,FALSE,U,M,"$1,736,425,629,520 ",24.5,36991981
50100,Michael Dell,58,United States,Technology,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
47200,Gautam Adani,60,India,Diversified,TRUE,D,M,"$2,611,000,000,000 ",49.7,1366417754
45100,Phil Knight & family,85,United States,Fashion & Retail,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
45000,Zhang Yiming,39,China,Technology,TRUE,D,M,"$19,910,000,000,000 ",59.2,1397715000
42900,Dieter Schwarz,83,Germany,Fashion & Retail,FALSE,D,M,"$3,845,630,030,824 ",48.8,83132799
40100,François Pinault & family,86,France,Fashion & Retail,TRUE,D,M,"$2,715,518,274,227 ",60.7,67059887
39100,Klaus-Michael Kuehne,85,Switzerland,Logistics,FALSE,U,M,"$703,082,435,360 ",28.8,8574832
38900,Giovanni Ferrero,58,Belgium,Food & Beverage,FALSE,U,M,"$529,606,710,418 ",55.4,11484055
38300,Jacqueline Mars,83,United States,Food & Beverage,FALSE,U,F,"$21,427,700,000,000 ",36.6,328239523
38300,John Mars,87,United States,Food & Beverage,FALSE,U,M,"$21,427,700,000,000 ",36.6,328239523
35300,Ma Huateng,51,China,Technology,TRUE,D,M,"$19,910,000,000,000 ",59.2,1397715000
35000,Miriam Adelson & family,77,United States,Gambling & Casinos,FALSE,U,F,"$21,427,700,000,000 ",36.6,328239523
35000,Ken Griffin,54,United States,Finance & Investments,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
34700,Mark Mateschitz,30,Austria,Food & Beverage,FALSE,N,M,"$446,314,739,528 ",51.4,8877067
33400,Robin Zeng,54,China,Automotive,TRUE,D,M,"$19,910,000,000,000 ",59.2,1397715000
32600,Tadashi Yanai & family,74,Japan,Fashion & Retail,TRUE,U,M,"$5,081,769,542,380 ",46.7,126226568
32100,Len Blavatnik,65,United Kingdom,Diversified,TRUE,D,M,"$2,827,113,184,696 ",30.6,66834405
31600,Alain Wertheimer,74,United States,Fashion & Retail,FALSE,U,M,"$21,427,700,000,000 ",36.6,328239523
31600,Gerard Wertheimer,72,United States,Fashion & Retail,FALSE,U,M,"$21,427,700,000,000 ",36.6,328239523
31200,Gianluigi Aponte,82,Switzerland,Logistics,TRUE,Split Family Fortune,M,"$703,082,435,360 ",28.8,8574832
31200,Rafaela Aponte-Diamant,78,Switzerland,Logistics,TRUE,Split Family Fortune,F,"$703,082,435,360 ",28.8,8574832
30200,Colin Zheng Huang,43,China,Technology,TRUE,U,M,"$19,910,000,000,000 ",59.2,1397715000
29700,Reinhold Wuerth & family,87,Germany,Manufacturing,TRUE,U,M,"$3,845,630,030,824 ",48.8,83132799
28500,Jeff Yass,64,United States,Finance & Investments,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
28100,Jim Simons,84,United States,Finance & Investments,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
27800,Stephen Schwarzman,76,United States,Finance & Investments,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
27400,Susanne Klatten,60,Germany,Automotive,FALSE,U,F,"$3,845,630,030,824 ",48.8,83132799
27000,Gina Rinehart,69,Australia,Metals & Mining,FALSE,D,F,"$1,392,680,589,329 ",47.4,25766605
26700,William Ding,51,China,Technology,TRUE,U,M,"$19,910,000,000,000 ",59.2,1397715000
26600,Germán Larrea Mota Velasco & family,69,Mexico,Metals & Mining,FALSE,D,M,"$1,258,286,717,125 ",55.1,126014024
25600,Shiv Nadar,77,India,Technology,TRUE,D,M,"$2,611,000,000,000 ",49.7,1366417754
25500,Low Tuck Kwong,74,Indonesia,Energy,TRUE,U,M,"$1,119,190,780,753 ",30.1,270203917
25300,Thomas Peterffy,78,United States,Finance & Investments,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
25200,Andrey Melnichenko & family,51,United Arab Emirates,Metals & Mining,TRUE,U,M,"$421,142,267,938 ",15.9,9770529
24600,Stefan Quandt,56,Germany,Automotive,FALSE,U,M,"$3,845,630,030,824 ",48.8,83132799
24400,MacKenzie Scott,52,United States,Technology,FALSE,D,F,"$21,427,700,000,000 ",36.6,328239523
24200,R. Budi Hartono,82,Indonesia,Finance & Investments,FALSE,U,M,"$1,119,190,780,753 ",30.1,270203917
23700,Vladimir Potanin,62,Russia,Metals & Mining,TRUE,U,M,"$1,699,876,578,871 ",46.2,144373535
23500,Jack Ma,58,China,Technology,TRUE,U,M,"$19,910,000,000,000 ",59.2,1397715000
23400,He Xiangjian & family,80,China,Manufacturing,TRUE,D,M,"$19,910,000,000,000 ",59.2,1397715000
23100,Iris Fontbona & family,80,Chile,Metals & Mining,FALSE,U,F,"$282,318,159,745 ",34,18952038
